value_id,dimension_id,label,dim_1_Consistency_and_Replication_Model_Choice,dim_2_Replica_Maintenance_and_Compaction_Placement,dim_3_Underlying_Storage_Substrate_Strategy,dim_4_Scaling_Tradeoff_Framing_and_Constraints,dim_5_Reliability_and_Operations_Philosophy_Pets_vs_Cattle
1.1,1,Strongly consistent replica visibility,-0.012263165860794836,0.0,0.0,0.0,0.0
1.2,1,Consensus-replicated repository hosting,0.7043075710253246,0.0,0.0,0.0,0.0
1.3,1,WAL-driven eventual truth derivation,-1.0,0.0,0.0,0.0,0.0
1.4,1,Relaxed replica consensus for scalability,0.30795559483547,0.0,0.0,0.0,0.0
2.1,2,Primary-only compaction,0.0,1.0,0.0,0.0,0.0
3.1,3,Replace filesystem distribution with Spokes,0.0,0.0,0.6854070290995969,0.0,0.0
3.2,3,Distributed object-store for hosting scaling experiments,0.0,0.0,0.27178748507726075,0.0,0.0
3.3,3,S3-backed write-ahead logs for repository state,0.0,0.0,-0.10461936530384897,0.0,0.0
3.4,3,Rejected blob-storage plus relational-database alternative,0.0,0.0,-1.0,0.0,0.0
3.5,3,Client-side Git virtualization as effective storage shift,0.0,0.0,0.14742485112699175,0.0,0.0
4.1,4,Object distribution and access-pattern limits scalability,0.0,0.0,0.0,0.6744302626813978,0.0
4.2,4,Central correctness costs increase with distribution,0.0,0.0,0.0,0.5168074347457942,0.0
4.3,4,Performance–correctness–operations balancing,0.0,0.0,0.0,-0.7146296754224442,0.0
4.4,4,Multiple alternatives evaluated for scaling,0.0,0.0,0.0,-1.0,0.0
4.5,4,Tail-at-scale write latency as primary driver,0.0,0.0,0.0,-0.2969648301968804,0.0
4.6,4,Replica-count safety and cost tradeoff at massive scale,0.0,0.0,0.0,0.9400174349672664,0.0
4.7,4,Automation and coordination as core framing,0.0,0.0,0.0,-0.46727699361620745,0.0
4.8,4,Reduce server replication/consistency burden for scaling,0.0,0.0,0.0,0.3476163668410759,0.0
5.1,5,Consensus replicas treated as stateful pets,0.0,0.0,0.0,0.0,1.0
