value_id,dimension_id,label,dim_1_Registration_Data_and_Input_Controls,dim_2_Authentication_Mechanism,dim_3_Credential_and_Session_Lifecycle,dim_4_Sensitive_Data_Protection_and_Retention,dim_5_Application_Structuring_Patterns,dim_6_Bike_State_Information_Architecture,dim_7_Payment_Integration_Strategy
6.1,6,Observer-based user notifications,0.0,0.0,0.0,0.0,0.0,0.4278376277588615,0.0
6.2,6,Asynchronous bike-lifecycle events,0.0,0.0,0.0,0.0,0.0,-0.13441961261105753,0.0
6.3,6,Observer-based bike availability updates,0.0,0.0,0.0,0.0,0.0,0.18470282080547637,0.0
6.4,6,Radius-based nearby bike discovery,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
6.5,6,Real-time fleet status monitoring dashboard,0.0,0.0,0.0,0.0,0.0,-0.3799815367758648,0.0
6.6,6,Observer-based rental-state notifications,0.0,0.0,0.0,0.0,0.0,0.9018607008225838,0.0
7.1,7,Adapter-based payment provider integration,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
7.2,7,Facade-based payment processing,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.1,4,Immediate biometric-data deletion,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
4.2,4,End-to-end personal and payment data encryption,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.1,5,Command-based rental operations,0.0,0.0,0.0,0.0,0.1512302610954286,0.0,0.0
5.2,5,Strategy-based rental pricing,0.0,0.0,0.0,0.0,0.15884878160807167,0.0,0.0
5.3,5,Builder-based usage report assembly,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
5.4,5,State-based rental lifecycle management,0.0,0.0,0.0,0.0,0.3302141757344268,0.0,0.0
5.5,5,State-machine rental workflow,0.0,0.0,0.0,0.0,0.35970678156207236,0.0,0.0
2.1,2,Biometric thumbprint login,0.0,0.9147901636346893,0.0,0.0,0.0,0.0,0.0
2.2,2,Ephemeral verification-code authentication,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2.3,2,Email-password authentication,0.0,0.0852098363653108,0.0,0.0,0.0,0.0,0.0
3.1,3,Thirty-minute verification-code expiration,0.0,0.0,-0.8750361174724467,0.0,0.0,0.0,0.0
3.2,3,Inactivity-based session timeout,0.0,0.0,0.47950971620678623,0.0,0.0,0.0,0.0
3.3,3,Manual session logout termination,0.0,0.0,0.9985007932169399,0.0,0.0,0.0,0.0
3.4,3,Short-lived verification-code timeout,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
3.5,3,Scheduler-driven rental-duration notifications,0.0,0.0,0.39702560804871945,0.0,0.0,0.0,0.0
1.1,1,Validated personal-data registration,1.0,0.0,0.0,0.0,0.0,0.0,0.0
